machine,compiler,repetition,query,engine,threads,query_label,time,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,L1-dcache-loads:u,L1-dcache-load-misses:u,LLC-loads:u,LLC-load-misses:u,L1-icache-loads:u,L1-icache-load-misses:u,dTLB-loads:u,dTLB-load-misses:u,iTLB-loads:u,iTLB-load-misses:u,L1-dcache-prefetches:u,L1-dcache-prefetch-misses:u
parmesan,gcc,0,1,vectorwise,24,q1 vectorwise,372.277,54952.11,0.0,0.0,358949.0,148287588081.0,448422649686.0,,89905876.0,200577688163.0,1391783288.0,2186523581.0,2182291411.0,73375271146.0,452352.0,199811655728.0,43608448.0,5386719160.0,10093.0,,
parmesan,gcc,0,1,hyper,24,q1 hyper,174.081,26166.24,0.0,0.0,349829.0,69538253569.0,278831785012.0,,51356766.0,133794606102.0,1117279382.0,2088169126.0,2076984537.0,35925135348.0,251578.0,131651774842.0,37474297.0,2942553752.0,14642.0,,
parmesan,gcc,0,1,vectorwise,25,q1 vectorwise,356.774,55451.0,0.0,0.0,360107.0,143795151704.0,444771602323.0,,86521037.0,201729192443.0,1362932549.0,2157470155.0,2151424105.0,76317662655.0,808612.0,202810511240.0,42610201.0,5202043254.0,32902.0,,
parmesan,gcc,0,1,hyper,25,q1 hyper,167.816,26444.8,0.0,0.0,349881.0,69740534455.0,281109010333.0,,50494630.0,126348822064.0,1020497275.0,1902803531.0,1917096843.0,39561594207.0,308216.0,136113152236.0,38458226.0,2976661256.0,30732.0,,
parmesan,clang,0,1,vectorwise,25,q1 vectorwise,356.789,54865.66,0.0,0.0,359841.0,145842628042.0,449202010155.0,,90690132.0,201195390144.0,1382706085.0,2186745166.0,2180178391.0,74213205366.0,746560.0,193864957184.0,42100848.0,5159433990.0,36849.0,,
parmesan,clang,0,1,hyper,25,q1 hyper,167.764,26263.6,0.0,0.0,349869.0,69079928047.0,275760661845.0,,48057034.0,120898416196.0,1022031328.0,1928886226.0,2080104089.0,40318236106.0,256791.0,135573790907.0,37956572.0,2962034101.0,30336.0,,
parmesan,gcc,0,1,hyper,26,q1 hyper,161.202,26253.66,0.0,0.0,349966.0,69083057133.0,276248077238.0,,46695059.0,123273042795.0,1033178736.0,1978121273.0,1992179731.0,40275779748.0,323313.0,134799981278.0,38128453.0,2951587312.0,37712.0,,
parmesan,gcc,0,1,vectorwise,26,q1 vectorwise,343.411,54830.23,0.0,0.0,358162.0,147935426546.0,448439276995.0,,90546664.0,200517720777.0,1379062296.0,2185409616.0,2182414267.0,72630054348.0,575973.0,197950385979.0,43739921.0,5387195716.0,41500.0,,
parmesan,clang,0,1,hyper,26,q1 hyper,160.777,26182.0,0.0,0.0,349965.0,62146452861.0,251990202568.0,,46952987.0,124063928243.0,1046973517.0,1988832957.0,2104674658.0,40207561519.0,369645.0,134615775612.0,38003230.0,2946284581.0,31541.0,,
parmesan,clang,0,1,vectorwise,26,q1 vectorwise,343.264,54839.67,0.0,0.0,358170.0,147890903183.0,448183589412.0,,90545809.0,200487369966.0,1379976665.0,2185486098.0,2182372429.0,72741399741.0,678619.0,198078000415.0,43765793.0,5367291381.0,37323.0,,
parmesan,gcc,0,1,hyper,27,q1 hyper,155.35,26323.45,0.0,0.0,349979.0,65682792493.0,265591607416.0,,48322291.0,127857508392.0,1093262358.0,2046766344.0,2081863366.0,40209962758.0,402050.0,134857523255.0,38515220.0,2956706107.0,36885.0,,
parmesan,gcc,0,1,vectorwise,27,q1 vectorwise,330.909,55382.38,0.0,0.0,358908.0,146113789133.0,445928807730.0,,88377031.0,198122801865.0,1358186698.0,2162548708.0,2161679473.0,75250371220.0,828369.0,202212835954.0,44492395.0,5419743946.0,36050.0,,
parmesan,clang,0,1,hyper,27,q1 hyper,155.739,26374.72,0.0,0.0,350011.0,65014481027.0,263297361033.0,,48850845.0,129023234303.0,1095833333.0,2078577726.0,2090844150.0,40230005606.0,398034.0,134949088026.0,38021805.0,2954383083.0,28350.0,,
parmesan,clang,0,1,vectorwise,27,q1 vectorwise,330.589,55331.32,0.0,0.0,358767.0,145422170397.0,452271346714.0,,88396999.0,199556674438.0,1354555378.0,2162826777.0,2163349753.0,75364057328.0,776376.0,202193000660.0,44653115.0,5419445343.0,33380.0,,
parmesan,gcc,0,1,hyper,28,q1 hyper,150.496,26369.63,0.0,0.0,350086.0,66998179841.0,270075699261.0,,50209126.0,132570235205.0,1174487111.0,2095891838.0,2093421396.0,40153693443.0,443672.0,135191658714.0,37843723.0,2771702683.0,19299.0,,
parmesan,gcc,0,1,vectorwise,28,q1 vectorwise,318.948,55563.69,0.0,0.0,360521.0,149140683541.0,458034857779.0,,89626889.0,202189440595.0,1352056416.0,2147543603.0,2143513684.0,77643675001.0,812133.0,192451777599.0,42981807.0,5227576077.0,33600.0,,
parmesan,clang,0,1,hyper,28,q1 hyper,149.629,26275.51,0.0,0.0,350125.0,68993216265.0,278138387133.0,,51069259.0,133012460388.0,1115561253.0,2090651293.0,2088562069.0,40194040511.0,346459.0,129002338229.0,36360226.0,2875436654.0,22455.0,,
parmesan,clang,0,1,vectorwise,28,q1 vectorwise,318.998,55243.04,0.0,0.0,360811.0,149111262646.0,453236733951.0,,90039740.0,200604754789.0,1362919419.0,2158343100.0,2088787824.0,72865851304.0,786363.0,193165731725.0,43351100.0,5348416100.0,31751.0,,
parmesan,gcc,0,1,hyper,29,q1 hyper,144.999,26339.93,0.0,0.0,350155.0,69636739680.0,278289775182.0,,50913558.0,132660271039.0,1149034565.0,2100589464.0,2096409702.0,38244959491.0,327373.0,131300908672.0,37172863.0,2923345032.0,39313.0,,
parmesan,gcc,0,1,vectorwise,29,q1 vectorwise,308.671,55405.14,0.0,0.0,363482.0,149057491435.0,460296203632.0,,89185219.0,200996595478.0,1362582101.0,2100167120.0,2107581906.0,73433218888.0,789218.0,200533826314.0,44234957.0,5445554496.0,35801.0,,
