,machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
4947,burrata,gcc,0,9,vectorwise,102,q9 vectorwise,732.479,409743.75,267744.0,620.0,1423332.0,1180806686445.0,439132014360.0,,2259795181.0,122372927400.0,8814171168.0,,,169374404220.0,64795152.0,173288154365.0,6199396329.0,160583379044.0,384713.0,,
4948,burrata,clang,1,9,hyper,102,q9 hyper,1667.212,936467.17,315545.0,100.0,1368792.0,2735638687747.0,1539447022836.0,,1389554613.0,412877712772.0,8084821047.0,,,420927327255.0,116581121.0,445006021776.0,5758434907.0,261121895397.0,555947.0,,
4949,burrata,clang,1,9,vectorwise,102,q9 vectorwise,741.286,408610.49,310993.0,627.0,1422915.0,1178890094442.0,372509002438.0,,1924177270.0,131206738259.0,8912325456.0,,,140335465681.0,77910235.0,196350941767.0,6181434178.0,112998407920.0,440224.0,,
4950,burrata,gcc,1,9,hyper,102,q9 hyper,903.937,461508.05,208505.0,136.0,1374466.0,1325414012409.0,292465775462.0,,1478987794.0,107309112437.0,7984713515.0,,,107171794767.0,80391403.0,172196826141.0,5730656298.0,96262861497.0,499061.0,,
4951,burrata,gcc,1,9,vectorwise,102,q9 vectorwise,733.456,405085.92,189718.0,617.0,1423410.0,1167692815370.0,392237183612.0,,2267812797.0,114734763682.0,8856742888.0,,,155071477935.0,65024233.0,166624733957.0,6228858224.0,146172551037.0,388440.0,,
4952,burrata,clang,0,9,hyper,103,q9 hyper,1646.726,939499.76,338715.0,119.0,1370881.0,2749610280091.0,1500132509871.0,,1399261019.0,408836112737.0,8096578853.0,,,409506707349.0,115053407.0,440215759308.0,5763202478.0,251568469100.0,453126.0,,
4953,burrata,clang,0,9,vectorwise,103,q9 vectorwise,743.849,414869.12,239320.0,640.0,1424060.0,1194768841992.0,392659364560.0,,1912304060.0,134343591522.0,8885186592.0,,,145118149264.0,75950267.0,199860782777.0,6164175778.0,114680223928.0,438101.0,,
4954,burrata,gcc,0,9,hyper,103,q9 hyper,900.851,464925.69,119053.0,129.0,1368136.0,1336367631062.0,300654251924.0,,1468087028.0,108420860418.0,8003543060.0,,,109862237851.0,72771859.0,175511219204.0,5750995539.0,97570269523.0,520705.0,,
4955,burrata,gcc,0,9,vectorwise,103,q9 vectorwise,740.04,411674.32,283689.0,633.0,1424444.0,1184328495281.0,428682288018.0,,2281099621.0,120862266042.0,8861298023.0,,,166084782402.0,66312603.0,172976907627.0,6192166458.0,157943579746.0,444085.0,,
4956,burrata,clang,1,9,vectorwise,103,q9 vectorwise,730.892,408344.51,219095.0,619.0,1423232.0,1179470273222.0,375032325060.0,,1922216440.0,132027144256.0,8874000417.0,,,141565837273.0,75905617.0,196359509676.0,6190821825.0,112255169859.0,436318.0,,
4957,burrata,clang,1,9,hyper,103,q9 hyper,1622.224,929771.01,467799.0,131.0,1367788.0,2717071785568.0,1501857757039.0,,1428616313.0,411151852884.0,8114994948.0,,,412509375065.0,125041431.0,440886923563.0,5760802028.0,251784113614.0,513143.0,,
4958,burrata,gcc,1,9,vectorwise,103,q9 vectorwise,768.615,402916.92,306041.0,625.0,1424567.0,1159112164297.0,404338360195.0,,2344472791.0,118745584651.0,8954258829.0,,,156883563284.0,63968631.0,165158167040.0,6203574138.0,144703091729.0,371072.0,,
4959,burrata,gcc,1,9,hyper,103,q9 hyper,840.357,458572.17,296943.0,133.0,1369004.0,1313379207241.0,294985658398.0,,1471551628.0,108258875868.0,7994174745.0,,,110647627329.0,79751304.0,175239522588.0,5727069099.0,94586210616.0,538033.0,,
