machine,compiler,repetition,query,engine,threads,query_label,time,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
burrata,gcc,0,1,hyper,48,q1 hyper,172.328,50604.95,12475.0,46.0,351518.0,146069583222.0,335884660614.0,,56475798.0,148282970744.0,887780964.0,,,84760915160.0,9187688.0,148987667464.0,58956277.0,52904279340.0,64803.0,,
burrata,gcc,0,1,vectorwise,48,q1 vectorwise,322.391,95533.59,105195.0,285.0,361924.0,279976760755.0,587636294169.0,,84714901.0,224587439343.0,1747259460.0,,,152889550328.0,13535861.0,234991097658.0,61969210.0,117140899685.0,89823.0,,
burrata,clang,0,1,hyper,64,q1 hyper,733.339,269635.87,83215.0,22.0,352670.0,795634209931.0,1050308793792.0,,58903479.0,378014120818.0,1064882125.0,,,265595873548.0,32557605.0,377890012853.0,73826359.0,154081070125.0,84470.0,,
burrata,clang,0,1,vectorwise,64,q1 vectorwise,250.109,97067.96,36235.0,388.0,366467.0,283137807453.0,499800557601.0,,95783453.0,206087867097.0,2000472957.0,,,131941915514.0,18113028.0,217093155092.0,62410853.0,97694723567.0,163122.0,,
burrata,gcc,0,1,hyper,64,q1 hyper,144.366,54576.58,26503.0,23.0,352801.0,153490951982.0,334188617861.0,,60406164.0,148221304537.0,859911897.0,,,84367766447.0,11724799.0,147336511457.0,59022410.0,51289937036.0,83668.0,,
burrata,gcc,0,1,vectorwise,64,q1 vectorwise,276.938,95660.61,26582.0,389.0,366882.0,276558977643.0,557112282404.0,,86439133.0,220180054681.0,1801334795.0,,,144184414615.0,16678942.0,231674950525.0,63381527.0,108340378394.0,180845.0,,
burrata,clang,0,1,hyper,80,q1 hyper,574.803,274018.46,131868.0,55.0,353834.0,805957935702.0,1089635246927.0,,60404086.0,381433981414.0,640329252.0,,,274816860595.0,33426780.0,382453362378.0,72603370.0,165081957249.0,121229.0,,
burrata,clang,0,1,vectorwise,80,q1 vectorwise,219.019,103077.77,122020.0,485.0,372248.0,293037275587.0,512310990053.0,,96032655.0,208972273306.0,2037702574.0,,,134965276567.0,20837668.0,221123972435.0,65341798.0,99750657143.0,198676.0,,
burrata,gcc,0,1,hyper,80,q1 hyper,141.402,64133.06,20281.0,22.0,353918.0,177388473494.0,333116230680.0,,120063179.0,151799358099.0,902566944.0,,,86688969892.0,11107697.0,153019684730.0,62228404.0,52157110289.0,150382.0,,
burrata,gcc,0,1,vectorwise,80,q1 vectorwise,214.727,102046.25,300464.0,484.0,371736.0,289022937170.0,564956902787.0,,86885431.0,220263117859.0,1815469449.0,,,148217529774.0,19919961.0,234660352706.0,64596678.0,112330301457.0,181640.0,,
burrata,gcc,0,1,hyper,88,q1 hyper,140.26,71185.2,406710.0,51.0,354457.0,199244108263.0,357165473676.0,,67918210.0,154896623309.0,898776176.0,,,92650552178.0,16295740.0,156620185475.0,62543956.0,57389062702.0,130168.0,,
burrata,gcc,0,1,vectorwise,88,q1 vectorwise,204.83,110656.04,105826.0,538.0,374339.0,314588391631.0,623389265493.0,,85644465.0,229324236691.0,1832475349.0,,,168334510001.0,17564204.0,246486525456.0,65315764.0,130876718624.0,145109.0,,
burrata,clang,0,1,vectorwise,96,q1 vectorwise,192.551,111816.75,221913.0,589.0,376120.0,317452809415.0,535393429522.0,,96911218.0,212637164047.0,2052956043.0,,,141723486274.0,23746951.0,226445690123.0,65636093.0,102521903919.0,241907.0,,
burrata,clang,0,1,hyper,96,q1 hyper,486.136,274634.97,116172.0,62.0,354916.0,804505611105.0,1075253732863.0,,59697006.0,379981747586.0,1065339910.0,,,271099722435.0,30567936.0,379146427537.0,70516706.0,159461556341.0,147058.0,,
burrata,gcc,0,1,vectorwise,96,q1 vectorwise,200.211,110489.17,225815.0,584.0,376440.0,312210974931.0,582198790931.0,,90644373.0,223924614173.0,1880071165.0,,,151316145200.0,22607647.0,238674545855.0,65605377.0,115223228315.0,194745.0,,
burrata,gcc,0,1,hyper,96,q1 hyper,144.018,78158.66,39365.0,51.0,354888.0,223491104953.0,365239781584.0,,63833055.0,153141980527.0,886270046.0,,,91486464969.0,15397369.0,157468858929.0,61508694.0,61157835637.0,116647.0,,
burrata,clang,0,1,vectorwise,104,q1 vectorwise,198.463,119639.05,127067.0,658.0,378274.0,336988583147.0,552295526188.0,,98321489.0,216284347351.0,2085329924.0,,,146943303742.0,24204131.0,233426138526.0,65911155.0,105620023731.0,249011.0,,
burrata,clang,0,1,hyper,104,q1 hyper,450.249,277756.5,370497.0,103.0,355502.0,812401050690.0,1095204151840.0,,63541737.0,382995602803.0,1066415294.0,,,276673788965.0,38764797.0,383098045283.0,72890006.0,166206890763.0,165964.0,,
burrata,gcc,0,1,vectorwise,104,q1 vectorwise,191.176,114488.51,67762.0,627.0,378003.0,321639140705.0,576065220032.0,,87789669.0,222472925325.0,1939291872.0,,,150069595739.0,21552527.0,242463707531.0,66725688.0,114406311527.0,225617.0,,
burrata,gcc,0,1,hyper,104,q1 hyper,145.126,83968.71,77158.0,68.0,355444.0,236165286506.0,362432452553.0,,63948247.0,153851085529.0,894174584.0,,,92455934486.0,17554589.0,157605910591.0,63117330.0,59493298506.0,121035.0,,
burrata,clang,0,1,hyper,112,q1 hyper,428.98,276617.16,98020.0,68.0,356058.0,804351369323.0,1067263481342.0,,62745924.0,379426570426.0,1070166473.0,,,267839111187.0,35128371.0,380522425129.0,72359915.0,160789034465.0,179290.0,,
burrata,clang,0,1,vectorwise,112,q1 vectorwise,189.2,123421.08,303164.0,687.0,378381.0,347182152517.0,526038253436.0,,99913689.0,210203206682.0,2109471312.0,,,137911139615.0,30337887.0,232627073928.0,67428056.0,102501498306.0,253693.0,,
burrata,gcc,0,1,hyper,112,q1 hyper,151.415,93738.26,121595.0,81.0,356084.0,261496617570.0,385920875728.0,,70645597.0,157767668563.0,891413657.0,,,101507251953.0,19014948.0,162142463749.0,63895070.0,69982462357.0,205779.0,,
burrata,gcc,0,1,vectorwise,112,q1 vectorwise,190.153,128193.12,324777.0,717.0,378818.0,359276240523.0,644087423027.0,,89114397.0,233426165519.0,1941556735.0,,,173454177677.0,27223960.0,253647364847.0,66667153.0,135105619950.0,228812.0,,
burrata,clang,0,1,hyper,120,q1 hyper,401.985,279376.03,254351.0,67.0,356629.0,814712238608.0,1089644680933.0,,64605794.0,382804658538.0,1077485653.0,,,270692199921.0,38676697.0,380614880705.0,71882961.0,164159048615.0,177405.0,,
