machine,compiler,repetition,query,engine,threads,query_label,time_seconds,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses,L1-icache-loads,L1-icache-load-misses,dTLB-loads,dTLB-load-misses,iTLB-loads,iTLB-load-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses
dubliner,gcc,0,1,vectorwise,38,q1 vectorwise,555.431,114724.77,3614.0,242.0,364670.0,285768611606.0,375754136052.0,45125669777.0,98105706.0,141684800846.0,7783632526.0,81372217.0,58382392.0,,35769923.0,141207551960.0,9142105.0,387168.0,1641057.0,,
dubliner,gcc,0,1,vectorwise,39,q1 vectorwise,489.945,110953.29,3967.0,232.0,364904.0,275872203645.0,374921782522.0,44996714523.0,96234668.0,140415645513.0,7686699399.0,67078156.0,46075854.0,,34580636.0,141047959139.0,9518437.0,341291.0,909265.0,,
dubliner,gcc,0,1,hyper,39,q1 hyper,254.958,53567.29,2713.0,35.0,352584.0,143905563609.0,263026414564.0,29959829713.0,58166525.0,133993651068.0,2381923587.0,46452459.0,35788927.0,,16128739.0,133935367674.0,16578198.0,141655.0,378729.0,,
dubliner,gcc,0,1,vectorwise,41,q1 vectorwise,555.665,119287.45,4197.0,267.0,364820.0,296711945897.0,375261298698.0,45324120675.0,100447245.0,141355194204.0,7812258966.0,83730087.0,69380120.0,,34760762.0,140416180833.0,8839575.0,439416.0,1103011.0,,
dubliner,gcc,0,1,hyper,41,q1 hyper,293.294,59401.05,2941.0,42.0,352888.0,156820187081.0,277907331224.0,32765870887.0,60270443.0,136617495548.0,2370808852.0,57520396.0,51911536.0,,18711171.0,139057334860.0,16486181.0,190744.0,2789073.0,,
dubliner,gcc,0,1,vectorwise,44,q1 vectorwise,742.474,142773.83,11028.0,287.0,370048.0,305094320264.0,370249055938.0,45025547677.0,103368092.0,138288488375.0,7741342515.0,158557810.0,123142248.0,,60807600.0,138782505446.0,9059971.0,1243548.0,1832811.0,,
dubliner,gcc,0,1,hyper,44,q1 hyper,334.251,62373.26,3425.0,97.0,353391.0,160620407738.0,283265536691.0,33816836523.0,62695941.0,139187531650.0,2434397591.0,63611597.0,50197988.0,,18730020.0,139977801213.0,17864633.0,235629.0,4030851.0,,
dubliner,gcc,0,1,vectorwise,46,q1 vectorwise,455.834,113226.61,4168.0,283.0,367193.0,279808217789.0,369759605734.0,44584014332.0,101332225.0,140600771936.0,7768632101.0,67718756.0,46381031.0,,32736715.0,140784989809.0,10028169.0,307701.0,1055982.0,,
dubliner,gcc,0,1,hyper,46,q1 hyper,254.086,61995.43,3195.0,59.0,353632.0,164123959939.0,268696192304.0,30950209192.0,60823130.0,135992836173.0,2397903659.0,52582485.0,38966068.0,,18380675.0,135065411405.0,18297538.0,202800.0,1145843.0,,
dubliner,gcc,0,1,vectorwise,49,q1 vectorwise,480.173,116752.74,4745.0,322.0,369259.0,287163919100.0,377857815733.0,45501578096.0,103562769.0,142801553169.0,7930415406.0,74523962.0,49486004.0,,39857515.0,140292100771.0,9843536.0,577153.0,1303331.0,,
dubliner,gcc,0,1,hyper,49,q1 hyper,264.359,67633.42,3244.0,50.0,352940.0,177604613780.0,269795064730.0,31092859134.0,60403495.0,135084151515.0,2365038415.0,49722058.0,38142954.0,,19611575.0,137812095649.0,16453478.0,178485.0,1341128.0,,
dubliner,gcc,0,1,vectorwise,52,q1 vectorwise,591.788,139989.92,5912.0,345.0,371079.0,348879919485.0,385777094809.0,48943834809.0,110724622.0,141811383156.0,7564713840.0,135561461.0,102535919.0,,41073161.0,143626425987.0,9980568.0,581366.0,5296217.0,,
dubliner,gcc,0,1,hyper,52,q1 hyper,377.559,75607.39,3741.0,58.0,353987.0,187516861868.0,296644705818.0,37480064096.0,69235147.0,143969197587.0,2432362064.0,68380491.0,54095465.0,,20720849.0,143821405965.0,16902164.0,351832.0,7711690.0,,
dubliner,gcc,0,1,hyper,55,q1 hyper,272.653,72898.7,3341.0,26.0,353073.0,191730959299.0,272930595768.0,32161058905.0,63294721.0,135849709434.0,2338505204.0,52065800.0,38813640.0,,21103210.0,136804711743.0,16584737.0,160468.0,2274504.0,,
dubliner,gcc,0,1,vectorwise,55,q1 vectorwise,498.818,121647.56,6528.0,351.0,371297.0,298184255467.0,375629314956.0,45437986358.0,103022533.0,142188365909.0,7789381986.0,101134973.0,81708116.0,,42528629.0,141210437261.0,10021827.0,622563.0,1377326.0,,
dubliner,gcc,0,1,vectorwise,57,q1 vectorwise,486.368,124692.94,8486.0,382.0,372807.0,307367858722.0,376688801204.0,45719644198.0,103112745.0,141003414573.0,7720922183.0,98032505.0,68862574.0,,42921903.0,141230386755.0,10099902.0,611572.0,2128721.0,,
dubliner,gcc,0,1,hyper,57,q1 hyper,310.522,77679.66,4228.0,116.0,354937.0,193520338151.0,287253564887.0,34978503759.0,67771948.0,141004020341.0,2391222061.0,56890750.0,42300310.0,,23733717.0,141377115650.0,16927063.0,355014.0,5386647.0,,
dubliner,gcc,0,1,hyper,60,q1 hyper,252.078,79421.28,4496.0,61.0,354122.0,209027648832.0,268598592508.0,31166102875.0,59937435.0,135665198380.0,2360856359.0,52857159.0,41473888.0,,21454637.0,136088797956.0,17954831.0,311153.0,1837348.0,,
